country,year_,yearly_avg_temp,value_
Canada,1990,-5.021916667,594722.243
Canada,1991,-4.426666667,587905.794
Canada,1992,-4.928916667,605290.249
Canada,1993,-4.4015,607681.077
Canada,1994,-4.433666667,628145.869
Canada,1995,-4.314333333,645455.297
Canada,1996,-4.941166667,666701.91
Canada,1997,-4.2315,682298.998
Canada,1998,-2.553916667,688613.931
Canada,1999,-3.186333333,701758.712
Canada,2000,-4.025916667,726987.283
Canada,2001,-3.100083333,718320.043
Canada,2002,-4.362833333,724281.13
Canada,2003,-3.8595,743286.854
Canada,2004,-4.923083333,745194.047
Canada,2005,-3.30875,741182.843
Canada,2006,-2.460166667,734586.99
Canada,2007,-4.060916667,756833.258
Canada,2008,-4.29525,739063.152
Canada,2009,-4.135083333,697734.945
Canada,2010,-1.887916667,709654.061
Canada,2011,-3.557083333,720820.931
Canada,2012,-3.176833333,725587.102
Canada,2013,-1.640666667,732162.302